ASIN	UPC_ePID	EAN_ePID	ISBN_ePID	Missing
B004XC6GJ0	1137898396	513019118		False
B000P1DEHU	61650824	61650824		False
B004NEUJKA				True
B0011ULQNI				True
B001O0DP48		77183800		False
B00DQV2BDO	94081649	94081649		False
B000E1B2SO				True
B00005K3B1				True
B00000J0E6				True
B0001B86GI	54831645	54831645		False
B075X4G51V				True
B006N9ZZS4				True
B003A1LK1O				True
B00NIAYOX8				True
B00IO3AQC2				True
B0028MD7F8				True
B001DFH0C2				True
B001DFPR9A				True
B00A4U1XVQ				True
B0091HQHZU				True
B00WLJLYJY				True
B000IJEZI6				True
B00PVV543G	113882390	710175419		False
B077ZKF9XK				True
B0036RH2U0				True
B004FWOECY				True
B0057OCS9A				True
B0015F0A8G				True
B000046S41	1200390013	1200390013		False
B004RZJ60O				True
B00PM5XBDQ				True
B00A121WN6	140972884	140972884		False
B00066ZMXS				True
B000YUUYY8	6484411			True
B000KKVO7I				True
B00004UE0O				True
B00006CRVI	6480807	6480807		False
B00T0J998G				True
B000CCFAOC				True
B000I0YTGS				True
B000034DCF		214702956		False
B00008Z0IB	6483506	6483506		False
B00006IIOL				True
B000BC38LA				True
B0007Z70YM				True
B000692N0K		30734474		False
B000Q8UPKQ				True
B000BKIDZ8	49342986	49342986		False
B0001XOJAS	30736766	30736766		False
B003VUN2LU				True
B001DKMZ5E	214704932	214704932		False
0974667315				True
B0001AVZ58	6485174	6485174		False
B004S5PBM0	100338350	100338350		False
B0057PERWU	214708312	214708312		False
B000X99VYE	70422921	70422921		False
B00000I1BS				True
B002I0J8RQ	92964580	92964580		False
B000HCL5QO	52702864	52702864		False
B00075GLUG	44140110	44140110		False
B004WLRR4K				True
B001ABP95E	2255404315	2255404315		False
B000GUV10W	54601588	54601588		False
B0087OXXGY	129464496			True
B0050SYYTK	92936739	92936739		False
6304089767	3245139	3245139	3245139	False
B0068WXR4A				True
B00004VVP8				True
1573305715	3272409	3272409	3272409	False
0788800914	3225484			True
0788803522				True
6304168241	3207246			True
B00006JE51				True
6304168136				True
6301475917	3148511			True
6303257844	3212696			True
6304698305	3267069			True
6300247163	3146078	3146078	3146078	False
B000056VP3	3334833			True
6302415853	3169733			True
B000EFNVB6	11009541627	11009541627		False
6301914090	3154765		3154765	True
6302428122	3058184			True
0783219105	3246296		3246296	True
0790739305				True
0790738074	3113435			True
6302226899	3061638			True
B000068CNG	54831012	54831012		False
B00008Y2EN				True
B001DFOBIS				True
B001QPT1PI				True
B003BNY7R0				True
B00KZPD0D4				True
B005GY3GWO				True
B00997KEZQ				True
B0001BRIBM				True
B0000950SC				True
B001ELLMGU				True
B001K5NSYE				True
B0000C7AFN				True
B002VR6A9K				True
B000F49ZHU				True
B0073W703I	114694254			True
B00VU68JWE				True
B003V865PC				True
B008DGFPB2				True
B00000K132	48450825	48450825		False
