ASIN,UPC,EAN,ISBN,Missing
B004XC6GJ0,021111531467,0168141495601,,False
B000P1DEHU,027242708952,0027242708952,,False
B004NEUJKA,961613210272,0999993504940,,False
B0011ULQNI,,,,True
B001O0DP48,050633271667,0050633271667,,False
B00DQV2BDO,037988482528,0037988482528,,False
B000E1B2SO,,,,True
B00005K3B1,050633151624,0050633151624,,False
B00000J0E6,079000309598,0079000309598,,False
B0001B86GI,050633320129,0050633320129,,False
B075X4G51V,031752160506,0031752160506,,False
B006N9ZZS4,829646543111,0801964781178,,False
B003A1LK1O,,,,True
B00NIAYOX8,741725317195,0741725317195,,False
B00IO3AQC2,634173081957,0634173081957,,False
B0028MD7F8,,,,True
B001DFH0C2,,5704327760481,,False
B001DFPR9A,,5704327232209,,False
B00A4U1XVQ,723905218522,0723905218522,,False
B0091HQHZU,,5060301841240,,False
B00WLJLYJY,666230470992,0666230470992,,False
B000IJEZI6,609585151833,0609585151833,,False
B00PVV543G,197274678803,0666672977165,,False
B077ZKF9XK,689227634450,0689227634450,,False
B0036RH2U0,606449066456,0606449066456,,False
B004FWOECY,,,,True
B0057OCS9A,,,,True
B0015F0A8G,,,,True
B000046S41,045496860219,0045496860219,,False
B004RZJ60O,,,,True
B00PM5XBDQ,806293905844,0806293905844,,False
B00A121WN6,625890426299,0803982830517,,False
B00066ZMXS,044319300116,0044319300116,,False
B000YUUYY8,710425216619,0710425216855,,False
B000KKVO7I,,,,True
B00004UE0O,014633144666,0014633144666,,False
B00006CRVI,753799098177,0753799098177,,False
B00T0J998G,,8656130908901,,False
B000CCFAOC,738981035963,0738981035963,,False
B000I0YTGS,825247017907,0825247017907,,False
B000034DCF,011719442623,0711719442622,,False
B00008Z0IB,008888681106,0008888681106,,False
B00006IIOL,,,,True
B000BC38LA,710425217135,0710425217135,,False
B0007Z70YM,,,,True
B000692N0K,086010673786,0008888682011,,False
B000Q8UPKQ,,,,True
B000BKIDZ8,020626723787,0020626723787,,False
B0001XOJAS,020626722476,0020626722476,,False
B003VUN2LU,781735810972,0781735810972,,False
B001DKMZ5E,625904700759,0625904700759,,False
0974667315,000974667315,0000974667315,,False
B0001AVZ58,021481233091,0021481233091,,False
B004S5PBM0,008888526889,0763615761819,,False
B0057PERWU,834656085506,0834656085506,,False
B000X99VYE,008888684060,0008888684060,,False
B00000I1BS,008888310341,0008888310341,,False
B002I0J8RQ,885370228526,0885370217322,,False
B000HCL5QO,882224277273,0882224277273,,False
B00075GLUG,014633148893,0014633148893,,False
B004WLRR4K,763615970990,0763615970990,,False
B001ABP95E,047875955271,0047875955271,,False
B000GUV10W,752919550069,0752919550069,,False
B0087OXXGY,883929266067,8839292660676,,False
B0050SYYTK,885305552436,0885370314687,,False
6304089767,786936670332,9786304089767,6304089767,False
B0068WXR4A,,,,True
B00004VVP8,001256954093,9780790752648,0790752646,False
1573305715,074644936636,9781573305716,1573305715,False
0788800914,786936394139,9780788800917,0788800914,False
0788803522,786936676433,9780788803529,0788803522,False
6304168241,097368336933,9786304168240,0792142845,False
B00006JE51,097368756335,9780792187554,0792187555,False
6304168136,097368368538,9780792142775,0792142772,False
6301475917,029956111530,9786301475914,6301475917,False
6303257844,086162863837,9786303257846,6303257844,False
6304698305,086162610530,9786304698303,6304698305,False
6300247163,086162108938,9786300247161,6300247163,False
B000056VP3,786936145854,9780788828577,0788828576,False
6302415853,023568087689,9786302415858,6302415853,False
B000EFNVB6,027242430365,0027242430365,,False
6301914090,097363212331,9786301914093,097363212331,False
6302428122,086162135033,9786302428124,6302428122,False
0783219105,096898282031,9780783219103,0783219105,False
0790739305,085391691631,9780790739304,0790739305,False
0790738074,085391676836,9780790738079,0790738074,False
6302226899,026359065736,9786302226898,6302226899,False
B000068CNG,037988472949,0037988472949,,False
B00008Y2EN,050633300152,0050633300152,,False
B001DFOBIS,,7532005228200,,False
B001QPT1PI,,,,True
B003BNY7R0,735078017840,0601000749557,,False
B00KZPD0D4,192547641294,0192547641294,,False
B005GY3GWO,,,,True
B00997KEZQ,,,,True
B0001BRIBM,722868332788,0722868332788,,False
B0000950SC,037988473649,0037988473649,,False
B001ELLMGU,888511008131,0888511008131,,False
B001K5NSYE,887513458555,0887513458555,,False
B0000C7AFN,043325330025,0043325330025,,False
B002VR6A9K,972158617648,0100177260815,,False
B000F49ZHU,037988476589,0037988476589,,False
B0073W703I,885170052444,0151903464458,,False
B00VU68JWE,074927910919,0074927910919,,False
B003V865PC,084997006337,0084997006337,,False
B008DGFPB2,089612022778,0089612022778,,False
B00000K132,012502525882,0012502525882,,False
